Seas,Week,Team,Opponent,Unique_ID,Opponent_ID,Home/Away,Score,Opp_Score,W/L,Lag_Score,Prev_W/L,Penalties,Penalty_Yds,Pass_Cmp,Pass_Att,Pass_Yds,Pass_TD,INT_Thrown,Sk_Taken,SK_Yds,Pass_Long,Passer Rating,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Rec_Tgt,Receptions,Rec_Yds,Rec_TD,Rec_Lng,Fumble_Total,Fumbles_Lost,Def_INT,Def_INT_Yds,Def_INT_TD,Def_INT_Lng,PD,Def_Sk,Comb_Tkl,Solo_Tkl,Ast_Tkl,TFL,QBHits,Def_FR,Def_FR_Yds,Def_FR_TD,Force_Fum,K_Ret,K_Ret_Yds,K_Ret_YPR,K_Ret_TD,K_Ret_Lng,P_Ret,P_Ret_Yds,P_Ret_YPR,P_Ret_TD,P_Ret_Lng,XPM,XPA,FGM,FGA,Punts,Punt_Yds,Yards_Per_Punt,Punt_Lng,P_1D,P_1D_Perc,IAY,IAY_Per_Att,CAY,CAY_Per_CMP,CAY_Per_Att,P_YAC,P_YAC_Per_Cmp,P_Drops,P_Drop_Perc,BadTh,BadTh_Perc,Sk_Taken,QB_Blitzed,QB_Hurried,QB_Hits,QB_Pressured,QB_Pressured_Perc,Scrm,Yds_Per_Scrm,Rush_1D,Rush_YBC,Rush_YBC_Per_Att,Rush_YAC,Rush_YAC_Per_Att,Rush_BrkTkl,Rush_Att_Per_BrkTkl,Rec_1D,Rec_YBC,Rec_YBC_Per_Rec,Rec_YAC,Rec_YAC_Per_Rec,Rec_BrkTkl,Rec_BrkTkl_Per_Rec,Rec_Drop,Rec_Drop_Perc,Def_Air,Def_YAC,Def_Blitz,Def_Hrry,Def_QBKD,Def_Sk,Def_Pressure,Def_MTkl,Def_MTkl_Perc,opp_Penalties,opp_Penalty_Yds,opp_Pass_Cmp,opp_Pass_Att,opp_Pass_Yds,opp_Pass_TD,opp_INT_Thrown,opp_Sk_Taken,opp_SK_Yds,opp_Pass_Long,opp_Passer Rating,opp_Rush_Att,opp_Rush_Yds,opp_Rush_TD,opp_Rush_Lng,opp_Rec_Tgt,opp_Receptions,opp_Rec_Yds,opp_Rec_TD,opp_Rec_Lng,opp_Fumble_Total,opp_Fumbles_Lost,opp_Def_INT,opp_Def_INT_Yds,opp_Def_INT_TD,opp_Def_INT_Lng,opp_PD,opp_Def_Sk,opp_Comb_Tkl,opp_Solo_Tkl,opp_Ast_Tkl,opp_TFL,opp_QBHits,opp_Def_FR,opp_Def_FR_Yds,opp_Def_FR_TD,opp_Force_Fum,opp_K_Ret,opp_K_Ret_Yds,opp_K_Ret_YPR,opp_K_Ret_TD,opp_K_Ret_Lng,opp_P_Ret,opp_P_Ret_Yds,opp_P_Ret_YPR,opp_P_Ret_TD,opp_P_Ret_Lng,opp_XPM,opp_XPA,opp_FGM,opp_FGA,opp_Punts,opp_Punt_Yds,opp_Yards_Per_Punt,opp_Punt_Lng,opp_P_1D,opp_P_1D_Perc,opp_IAY,opp_IAY_Per_Att,opp_CAY,opp_CAY_Per_CMP,opp_CAY_Per_Att,opp_P_YAC,opp_P_YAC_Per_Cmp,opp_P_Drops,opp_P_Drop_Perc,opp_BadTh,opp_BadTh_Perc,opp_Sk_Taken,opp_QB_Blitzed,opp_QB_Hurried,opp_QB_Hits,opp_QB_Pressured,opp_QB_Pressured_Perc,opp_Scrm,opp_Yds_Per_Scrm,opp_Rush_1D,opp_Rush_YBC,opp_Rush_YBC_Per_Att,opp_Rush_YAC,opp_Rush_YAC_Per_Att,opp_Rush_BrkTkl,opp_Rush_Att_Per_BrkTkl,opp_Rec_1D,opp_Rec_YBC,opp_Rec_YBC_Per_Rec,opp_Rec_YAC,opp_Rec_YAC_Per_Rec,opp_Rec_BrkTkl,opp_Rec_BrkTkl_Per_Rec,opp_Rec_Drop,opp_Rec_Drop_Perc,opp_Def_Air,opp_Def_YAC,opp_Def_Blitz,opp_Def_Hrry,opp_Def_QBKD,opp_Def_Sk,opp_Def_Pressure,opp_Def_MTkl,opp_Def_MTkl_Perc
2018,2,ARI,LAR,2018ARI2,2018LAR2,Away,0,34,L,6,0,9,67,20,34,153,0,1,2,8,27,57.6,15,68,1,11,34,20,153,0,27,1,1,0,0,0,0,1,3,75,60,15,6,9,1,0,0,2,0,0,0,0,0,2,44,22,0,44,0,0,0,0,5,263,52.6,60,6,16.66666667,208,6.117647059,87,4.35,2.558823529,66,3.3,4,11.76470588,5,14.70588235,2,7,5,2,9,24.32432432,1,8,7,39,2.6,29,1.933333333,1,0.066666667,6,87,4.35,66,3.3,1,0.05,4,20,77,160,17,8,7,3,18,17,18.47826087,8,70,18,33,233,2,0,1,8,30,97.2,26,140,0,23,33,18,233,2,30,1,0,3,57,1,50,4,1,69,45,24,5,3,0,0,0,0,3,75,25,0,26,2,12,6,0,12,3,3,4,5,2,117,58.5,62,13,38.23529412,330,10,132,7.333333333,4,101,5.611111111,2,6.060606061,7,21.21212121,1,6,2,1,4,11.76470588,0,0,8,68,2.615384615,72,2.769230769,1,0.038461538,13,132,7.333333333,101,5.611111111,1,0.055555556,2,11.11111111,132,212,15,9,0,1,10,11,13.75
2018,3,ARI,CHI,2018ARI3,2018CHI3,Home,14,16,L,0,0,9,47,17,27,90,0,1,1,7,15,53,15,54,0,9,27,17,90,0,15,0,0,1,0,0,0,3,2,74,55,19,6,5,0,0,0,0,3,49,16.33333333,0,19,0,0,0,0,0,0,0,0,0,8,403,50.375,58,4,14.28571429,133,4.925925926,41,2.411764706,1.518518519,49,2.882352941,0,0,5,18.51851852,1,6,3,4,8,28.57142857,0,0,1,30,2,24,1.6,0,0,4,41,2.411764706,49,2.882352941,2,0.117647059,0,0,207,138,14,5,3,2,10,6,7.5,7,55,25,34,200,2,2,2,15,18,83,27,86,0,8,34,25,200,2,18,0,0,1,49,1,49,5,6,52,46,6,7,7,1,0,0,3,1,14,14,0,14,4,58,14.5,0,32,3,3,1,1,5,206,41.2,52,11,30.55555556,207,6.088235294,99,3.96,2.911764706,101,4.04,0,0,4,11.76470588,2,9,6,0,8,20.51282051,3,9.3,7,64,2.37037037,22,0.814814815,2,0.074074074,11,99,3.96,101,4.04,3,0.12,0,0,158,68,10,11,2,6,19,7,11.86440678
2018,4,ARI,SEA,2018ARI4,2018SEA4,Home,17,20,L,14,0,6,43,17,26,193,2,3,4,25,35,89,18,53,0,9,25,17,193,2,35,2,1,1,0,0,0,6,3,67,51,16,5,5,1,0,0,1,0,0,0,0,0,2,7,3.5,0,7,2,2,0,0,4,203,50.75,61,8,26.66666667,248,9.538461538,117,6.882352941,4.5,76,4.470588235,1,3.846153846,2,7.692307692,4,6,1,5,10,32.25806452,1,12,3,24,1.333333333,29,1.611111111,0,0,8,117,6.882352941,76,4.470588235,0,0,1,5.882352941,109,95,20,1,2,3,7,7,9.459459459,10,67,16,26,192,2,0,2,10,52,109.8,39,113,1,13,25,16,192,2,52,1,0,2,0,0,0,7,5,57,46,11,6,10,1,0,0,1,3,66,22,0,27,3,25,8.333333333,0,18,3,3,1,1,8,350,43.75,61,10,35.71428571,241,9.269230769,108,6.75,4.153846154,84,5.25,2,7.692307692,3,11.53846154,2,8,4,4,10,35.71428571,0,0,6,28,0.717948718,85,2.179487179,5,0.128205128,10,108,6.75,84,5.25,0,0,2,12.5,81,87,22,7,4,5,16,5,8.064516129
2018,5,ARI,SFO,2018ARI5,2018SFO5,Away,28,18,W,17,0,5,38,15,27,180,1,0,1,9,31,88.5,28,92,1,21,25,15,180,1,31,1,1,0,0,0,0,0,2,62,61,1,5,3,0,0,0,2,2,55,27.5,0,29,1,0,0,0,0,2,2,1,3,5,253,50.6,56,9,32.14285714,245,9.074074074,103,6.866666667,3.814814815,77,5.133333333,3,11.11111111,4,14.81481481,1,6,1,6,8,26.66666667,2,6.5,6,75,2.678571429,17,0.607142857,1,0.035714286,9,103,6.866666667,77,5.133333333,0,0,3,20,83,82,14,6,1,2,9,9,12.67605634,4,29,23,37,298,2,2,1,10,82,82.9,21,76,0,12,36,23,298,2,82,1,0,1,32,1,32,3,1,64,40,24,4,3,0,0,0,1,4,91,22.75,0,29,2,5,2.5,0,8,3,3,2,2,5,235,47,55,13,34.21052632,205,5.540540541,128,5.565217391,3.459459459,170,7.391304348,2,5.405405405,4,10.81081081,1,8,0,6,7,16.66666667,4,4.3,5,33,1.571428571,43,2.047619048,0,0,13,128,5.565217391,170,7.391304348,3,0.130434783,2,8.695652174,139,111,11,0,1,1,2,10,13.51351351
2018,6,ARI,MIN,2018ARI6,2018MIN6,Away,17,27,L,28,1,5,46,10,25,170,1,0,1,6,75,77.1,23,56,2,10,23,10,170,1,75,0,0,2,30,0,21,9,4,96,73,23,10,7,3,72,1,3,0,0,0,0,0,1,0,0,0,0,4,4,0,0,8,317,39.625,52,5,19.23076923,277,11.08,96,9.6,3.84,74,7.4,3,12,8,32,1,7,4,3,8,30.76923077,0,0,4,29,1.260869565,27,1.173913043,0,0,5,96,9.6,74,7.4,2,0.2,3,30,105,254,23,0,4,4,8,6,5.882352941,4,23,30,37,301,1,0,1,3,68,109.6,23,77,0,20,37,30,301,1,68,1,1,0,0,0,0,2,3,47,42,5,4,8,3,52,1,1,0,0,0,0,0,2,22,11,0,13,2,2,3,5,2,78,39,43,13,34.21052632,217,5.864864865,140,4.666666667,3.783783784,161,5.366666667,0,0,3,8.108108108,1,8,6,5,12,30.76923077,1,3,5,54,2.347826087,23,1,2,0.086956522,13,140,4.666666667,161,5.366666667,3,0.1,0,0,188,123,12,2,0,3,5,6,11.32075472
2018,7,ARI,DEN,2018ARI7,2018DEN7,Home,10,45,L,17,0,5,30,21,31,240,0,1,4,32,40,77.4,20,60,1,10,31,21,240,0,40,1,1,1,0,0,0,7,4,74,45,29,6,7,1,36,1,1,3,60,20,0,27,3,17,5.666666667,0,10,2,2,1,1,6,288,48,61,9,25.71428571,209,6.741935484,140,6.666666667,4.516129032,100,4.761904762,1,3.225806452,4,12.90322581,4,11,3,2,9,25.71428571,0,0,5,31,1.55,29,1.45,1,0.05,9,140,6.666666667,100,4.761904762,1,0.047619048,1,4.761904762,148,96,13,7,1,4,13,5,6.329113924,6,61,25,41,322,2,1,2,25,45,91.7,17,60,0,9,38,25,322,2,45,1,0,1,3,0,3,5,5,66,47,19,5,6,1,0,0,0,2,48,24,0,25,0,0,0,0,0,2,2,2,2,4,169,42.25,48,14,32.55813953,355,8.658536585,195,7.8,4.756097561,127,5.08,2,4.87804878,7,17.07317073,2,8,5,3,10,22.72727273,1,6,3,43,2.529411765,17,1,2,0.117647059,14,195,7.8,127,5.08,2,0.08,2,8,119,126,73,1,0,5,7,11,14.28571429
2018,8,ARI,SFO,2018ARI8,2018SFO8,Home,18,15,W,10,0,7,45,21,39,194,1,3,6,40,27,44.2,21,69,0,10,36,21,194,1,27,3,2,1,0,0,0,2,2,57,42,15,5,4,0,0,0,0,5,77,15.4,0,22,2,17,8.5,0,9,1,1,1,1,6,304,50.66666667,56,8,17.77777778,290,7.435897436,122,5.80952381,3.128205128,72,3.428571429,1,2.564102564,7,17.94871795,6,14,0,6,12,26.08695652,1,14,4,29,1.380952381,40,1.904761905,0,0,8,122,5.80952381,72,3.428571429,0,0,1,4.761904762,102,69,15,5,2,2,9,8,12.30769231,2,10,15,27,170,1,2,7,49,35,56.1,24,107,0,16,27,15,170,1,35,3,2,0,0,0,0,2,1,61,49,12,6,3,0,0,0,0,1,21,21,0,21,1,6,6,0,6,1,1,1,1,4,160,40,54,8,23.52941176,229,8.481481481,70,4.666666667,2.592592593,100,6.666666667,1,3.703703704,6,22.22222222,7,7,2,2,11,31.42857143,1,13,8,64,2.666666667,43,1.791666667,1,0.041666667,8,70,4.666666667,100,6.666666667,0,0,1,6.666666667,121,67,13,2,1,1,4,8,11.5942029
2018,10,ARI,KAN,2018ARI10,2018KAN10,Away,14,26,L,18,1,9,62,23,40,252,2,1,3,19,37,82.5,21,88,0,13,35,23,252,2,19,1,1,0,0,0,0,5,4,60,48,12,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,229,45.8,55,15,34.88372093,288,7.2,133,5.782608696,3.325,119,5.173913043,1,2.5,8,20,3,9,3,2,8,17.77777778,2,6,3,51,2.428571429,37,1.761904762,1,0.047619048,15,133,5.782608696,119,5.173913043,1,0.043478261,1,4.347826087,88,102,25,7,4,4,16,5,7.692307692,11,86,23,32,375,3,1,2,15,50,129,24,139,2,25,31,23,375,3,50,0,0,1,18,0,18,2,2,62,51,11,5,3,0,0,0,0,2,53,26.5,0,34,0,0,0,0,0,4,5,1,1,2,63,31.5,42,15,44.11764706,216,6.75,161,7,5.03125,214,9.304347826,4,12.5,3,9.375,2,5,3,5,10,28.57142857,1,3,10,80,3.333333333,59,2.458333333,3,0.125,15,161,7,214,9.304347826,3,0.130434783,4,17.39130435,122,186,23,6,0,2,8,7,10.14492754
2018,11,ARI,OAK,2018ARI11,2018OAK11,Home,21,23,L,14,0,3,30,22,39,208,1,2,5,42,24,58.5,25,94,1,11,37,22,208,1,24,1,0,0,0,0,0,1,5,52,41,11,10,7,0,0,0,1,3,89,29.66666667,0,36,3,8,2.666666667,0,6,2,2,0,0,5,247,49.4,55,13,29.54545455,289,7.41025641,112,5.090909091,2.871794872,96,4.363636364,0,0,8,20.51282051,5,4,4,8,17,38.63636364,0,0,7,65,2.6,29,1.16,0,0,13,112,5.090909091,96,4.363636364,3,0.136363636,0,0,128,116,19,2,1,5,8,3,5.454545455,6,55,24,37,243,0,0,4,40,31,83.5,22,114,0,42,35,24,243,0,31,1,1,1,0,0,0,4,1,60,39,21,3,6,0,0,0,0,5,96,19.2,0,25,3,8,2.666666667,0,6,0,0,2,2,3,162,54,57,12,29.26829268,208,5.621621622,117,4.875,3.162162162,126,5.25,3,8.108108108,5,13.51351351,4,7,5,2,11,26.19047619,1,3,3,90,4.090909091,24,1.090909091,0,0,12,117,4.875,126,5.25,3,0.125,3,12.5,121,125,13,2,4,1,7,9,13.04347826
2018,12,ARI,LAC,2018ARI12,2018LAC12,Away,10,45,L,21,0,7,62,9,20,136,3,2,1,8,59,67.9,31,154,0,53,19,9,136,3,59,1,0,0,0,0,0,3,4,71,53,18,7,7,0,0,0,0,1,32,32,0,32,4,38,9.5,0,18,3,3,0,0,8,418,52.25,60,7,33.33333333,137,6.85,35,3.888888889,1.75,101,11.22222222,5,25,2,10,1,3,5,0,6,28.57142857,0,0,5,82,2.64516129,72,2.322580645,1,0.032258065,7,35,3.888888889,101,11.22222222,1,0.111111111,5,55.55555556,97,119,17,4,3,4,11,4,5.333333333,14,120,28,43,401,2,2,3,17,32,91.3,26,95,0,20,43,28,401,2,32,0,0,0,0,0,0,3,0,45,36,9,0,3,0,0,0,0,3,70,23.33333333,0,30,1,2,2,0,2,1,2,3,3,2,78,39,40,18,39.13043478,333,7.744186047,179,6.392857143,4.162790698,222,7.928571429,2,4.651162791,5,11.62790698,3,18,1,3,7,15.2173913,0,0,5,39,1.5,56,2.153846154,0,0,18,179,6.392857143,222,7.928571429,4,0.142857143,2,7.142857143,84,151,5,0,3,0,3,6,11.76470588
